Parameter,Category,Description,Comments,Extra Flash Consumption,GCODE Modifier,HTMPMOVE,HTMP1-1,MP2-1,MP2-2,HTMP1-0,OVEN,HTPRUSA,MP2-0,,
grid_max_points_y,bed-level,Don't use more than 15 pts/axis,,,,GRID_MAX_POINTS_X,GRID_MAX_POINTS_X,GRID_MAX_POINTS_X,,GRID_MAX_POINTS_X,,,,,
ubl_hilbert_curve,bed-level,Less travel when probing,,,,on,on,on,,on,,,,,
ubl_tilt_on_mesh_points,bed-level,Use nearest mesh points with G29 J for z reference,,,,on,on,on,,,,,,,
ubl_tilt_on_mesh_points_3point,bed-level,Use nearest mesh points with G29 J0,,,,off,off,off,,,,,,,
ubl_mesh_edit_moves_z,bed-level,Actively moves nozzle when editing point,We like the instant feedback,,,on,on,on,,on,,,,,
ubl_save_active_on_m500,bed-level,Saves current mesh in slot on M500,,,,on,on,on,,on,,,,,
ubl_z_raise_when_off_mesh,bed-level,"When nozzle off mesh, use this to correct z",We never have plan to use this,,,off,off,off,,,,,,,
ubl_mesh_wizard,bed-level,Run several commands in a row automatically,Very helpful,,,on,on,on,,on,,,,,
avoid_obstacles,bed-level,Define points to avoid when probing,"Screws, heater, etc… More options needed",,,off,off,off,,,,,,,
lcd_bed_leveling,lcd-menu,Adds LCD menu for ABL,,,,on,on,on,,on,,,,,
mesh_edit_z_step,bed-level,Step size when probing z manually,,,,0.025,0.025,0.025,,0.025,,,,,
lcd_probe_z_range,bed-level,Range allowed around Z_MIN_POS,,,,4,4,4,,4,,,,,
mesh_edit_menu,lcd-menu,Add LCD menu to adjust mesh points,,,,on,on,on,,on,,,,,
lcd_bed_tramming,bed-level,"Add guide for tramming, more settings available",This is with the springs/screws at bed corner. None of our printers support this currently,,,off,off,off,,off,,,,,
z_probe_end_script,homing,GCODE list to run after G29,Only necessary with special probes,,,off,off,off,,off,,,,,
bed_center_at_0_0,homing,"Bed is centered around 0,0 and has negative vals",,,,off,off,off,,,,,,,
manual_x_home_pos,homing,X coordinate when home is triggered,Leave off for automatic,,,off,off,off,,X_BED_SIZE,,,,,
manual_y_home_pos,homing,Y coordinate when home is triggered,For example home off bed then limit motion to on the bed through y_min_pos,,,off,off,off,,-26,,,,,
manual_z_home_pos,homing,Z coordinate when home is triggered,Leave off for automatic,,,off,off,off,,0,,,,,
z_safe_homing,homing,Move the nozzle to x/y point before homing z,,,,off,on,on,,on,,,,,
z_safe_homing_x_point,homing,x point for homing z,,,,X_CENTER,X_CENTER,X_CENTER,,,,,,,
z_safe_homing_y_point,homing,y point for homing z,,,,Y_CENTER,Y_CENTER,Y_CENTER,,,,,,,
z_safe_homing_point_absolute,homing,Ignore home offsets when homing z,Good to always home z in true bed center,,,on,on,on,,,,,,,
homing_feedrate_mm_m,homing,"mm/m to move for homing x, y, z",,,,"{ (50*60), (50*60), (4*60) }","{ (50*60), (50*60), (4*60) }","{ (50*60), (50*60), (4*60) }",,"{ (50*60), (50*60), (4*60) }",,,,,
validate_homing_endstops,homing,Checks to make sure endstops trigger properly,Safety oreinted feature,,,on,on,on,,on,,,,,
skew_correction,calibration,Enable more options and use this,Need to do testing to see if worth it,,,off,off,off,,off,,,,,
eeprom_settings,eeprom,Enables using EEPROM,,,M500/501/502,on,on,on,,on,,,,,
disable_m503,eeprom,Disables M503,We like reporting settings to touchscreen,Saves 2700b,,off,off,off,,,,,,,
eeprom_chitchat,eeprom,Gives feedback on commands,Disable to save progmem,,,on,on,on,,on,,,,,
eeprom_boot_silent,eeprom,Keep M503 quiet and only report error during first load,We like feedback that settings are loaded properly at printer startup,,,off,off,off,,on,,,,,
eeprom_auto_init,eeprom,Automatically init on errors,We like to have to reset manually if needed,,,off,off,off,,off,,,,,
eeprom_init_now,eeprom,Reset eeprom on new build loading,Like to keep old eeprom if possible,,,off,off,off,,off,,,,,
host_keepalive_feature,host,Checks to make sure host is alive with messages,,,,on,on,on,,on,,,,,
default_keepalive_interval,host,Seconds between host checks,,,M113,2,2,2,,2,,,,,
busy_while_heating,host,Require a busy message during heating,May depend on touchscreen firmware,,,off,off,off,,on,,,,,
inch_mode_support,units,Enables G20/G21,Eww,,G20/G21,off,off,off,,,,,,,
temperature_units_support,units,Enables M149,Eww,,M149,off,off,off,,,,,,,
preheat_1_label,preheats,Filament 1 information,Duplicate for up to 10 filaments. Only Marlin,,,"""PLA""","""PLA""","""PLA""",,"""PLA""",,,,,
preheat_1_temp_hotend,preheats,Filament 1 information,Duplicate for up to 10 filaments. Only Marlin,,,220,220,220,,215,,,,,
preheat_1_temp_bed,preheats,Filament 1 information,Duplicate for up to 10 filaments. Only Marlin,,,60,60,60,,60,,,,,
preheat_1_temp_chamber,preheats,Filament 1 information,Duplicate for up to 10 filaments. Only Marlin,,,35,35,35,,,,,,,
preheat_1_fan_speed,preheats,"Filament 1 information, 0 to 255",Duplicate for up to 10 filaments. Only Marlin,,,0,0,0,,0,,,,,
nozzle_park_feature,motion,Enable G27 to move to specified position,Not needed for most printers,,,off,off,off,,on,,,,,
nozzle_clean_feature,motion,Enable G12 to wipe nozzle at point on bed,Not implemented in any printer,,,off,off,off,,off,,,,,
printjob_timer_autostart,host,Enables timer on certain commands,Easier to just trigger ourselves with commands,,M75/76/77,off,off,off,,off,,,,,
printcounter,host,Enables tracking print statistics,,,M78,on,on,on,,off,,,,,
printcounter_save_interval,host,How often to save statistics during print (minutes),Save eeprom wear by using 0 (print end only),,,0,0,0,,,,,,,
password_feature,host,Lock printer or not,,,,off,off,off,,off,,,,,
lcd_language,lcd,Lanuage for Marlin mode,,,,en,en,en,,en,,,,,
display_charset_hd44780,lcd,Extended characters for Marlin mode,,,,JAPANESE,JAPANESE,JAPANESE,,JAPANESE,,,,,
lcd_info_screen_style,lcd,"0: classic, 1:prusa",,,,0,0,0,,0,,,,,
sdsupport,lcd,Controller has a sd slot,,,,on,on,on,,on,,,,,
sd_check_and_retry,lcd,Use checks to prevent communcation loss with sd,,,,on,on,on,,on,,,,,
no_lcd_menus,lcd-menu,Recover flash with only status,,,,off,off,off,,off,,,,,
slim_lcd_menus,lcd-menu,Recover flash with smaller menu items,,,,off,off,off,,off,,,,,
encoder_pulses_per_step,lcd,How many clicks of encoder is one step,,,,4,4,4,,4,,,,,
encoder_steps_per_menu_item,lcd,Override clicks needed for menu item scrolling,,,,off,off,off,,,,,,,
reverse_encoder_direction,lcd,See configuration.h for details,,,,off,off,off,,off,,,,,
reverse_menu_direction,lcd,See configuration.h for details,,,,off,off,off,,off,,,,,
reverse_select_direction,lcd,See configuration.h for details,,,,off,off,off,,off,,,,,
encoder_noise_filter,lcd,Filter phantom clicks caused by EMI,,,,off,off,off,,off,,,,,
individual_axis_homing_menu,lcd-menu,Allow for homing one axis at a time,,,,on,on,on,,on,,,,,
individual_axis_homing_submenu,lcd-menu,Allow for homing one axis at a time,,,,on,on,on,,on,,,,,
speaker,lcd,Screen has a buzzer,,,,on,on,on,,on,,,,,
lcd_feedback_frequency_duration_ms,lcd,Feedback tone for menu,,,,2,2,2,,2,,,,,
lcd_feedback_frequency_hz,lcd,Feedback tone for menu,,,,5000,5000,5000,,5000,,,,,
tone_queue_length,lcd,Queue to keep from blocking execution,Disable to default to 4,4 bytes per,,4,4,4,,,,,,,
reprap_discount_smart_controller,lcd-type,Prusa-like digital screen of text lines,"Choose only one screen type, disable all for no Marlin",,,off,off,off,,off,,,,,
reprap_discount_full_graphic_smart_controller,lcd-type,Touchscreen Marlin mode implementation,"Choose only one screen type, disable all for no Marlin",,,off,off,on,,on,,,,,
num_m106_fans,fans,"Number of controllable fans, typically for part cooling","PrusaSlicer likes to turn these on and off, use caution if they are critical to cooling",,,0,0,0,,0,,,,,
fan_soft_pwm,fans,"Control fans through software, not hardware",,,,off,off,off,,,,,,,
soft_pwm_scale,fans,Scale for fan_soft_pwm,"Affects heaters, halfs control resolution",,,0,0,0,,0,,,,,
thermocouple_max_errors,thermocouple,Ignore thermocouple errors due to noise,Set to lower value for more strict safety,,,15,15,15,,15,,,,,
hotend0_pullup_resistor_ohms,temperatures,This and more settings are for temp_sensor = 1000 setup only and are likely not used,"Set to default, but add the others if necessary",,,4700,4700,4700,,,,,,,
temp_sensor_force_hw_spi,thermocouple,"This and more settings are for thermocouple extra configuration and likely not needed, but be aware",,,,off,off,off,,,,,,,
thermal_protection_period,safety,How long can stay outside hysteresis before trigger error in seconds,False positives for thermal runaway = increase this value,,,45,45,45,,45,,,,,
thermal_protection_hysteresis,safety,How far below target temp once reached the printer can go. It can be outside this range for period seconds before error is triggered,False positives for thermal runaway = increase this value,,,4,4,4,,4,,,,,
adaptive_fan_slowing,fans,Slow down M106 fans if nozzle temp drops,,,,off,off,off,,off,,,,,
watch_temp_period,safety,"During heatup, how long a watch period to have",Causes heating failed error if too low. ,,,30,30,30,,30,,,,,
watch_temp_increase,safety,"During heatup, increase C during period or error",Larger thermal mass results in lower total C change,,,2,2,2,,2,,,,,
thermal_protection_bed_period,safety,See nozzle version,Also available for chamber as separate param,,,60,60,60,,60,,,,,
thermal_protection_bed_hysteresis,safety,See nozzle version,Also available for chamber as separate param,,,5,5,5,,5,,,,,
watch_bed_temp_period,safety,See nozzle version,Also available for chamber as separate param,,,60,60,60,,60,,,,,
watch_bed_temp_increase,safety,See nozzle version,Also available for chamber as separate param,,,2,2,2,,2,,,,,
thermal_protection_variance_monitor,safety,"If a thermal sensor doesn't change at all (decimal) values for its t_p_*_period, trigger error. Recommended for all sensors unless known good","Stable temps can cause false positives, so change the t_p_*_period or override all with t_p_v_m_period",,,on,on,on,,off,,,,,
thermal_protection_variance_monitor_period,safety,"Seconds to watch for variance only, overrides all types of sensors",,,,off,off,off,,,,,,,
pid_extrusion_scaling,pid,Add a term to pid proportional to extrusion speed,Using mixing and x7 messes this up bad,,,off,off,off,,off,,,,,
default_kc,pid,Extrusion scaling k value,Extra power = kc * extrusion speed,,,(100),(100),(100),,,,,,,
lpq_max_len,pid,"Unknown, not documented",,,,50,50,50,,,,,,,
pid_fan_scaling,pid,Scale PID with part cooling fan,"Not used, many options available",,,off,off,off,,off,,,,,
autotemp,temperatures,Adjust temp based on planned E moves,"Not used, many options available",,M104/9 F,off,off,off,,off,,,,,
show_temp_adc_values,temperatures,Enable M105 to show sensor ADC values,,,,on,on,on,,,,,,,
max_consecutive_low_temperature_error_allowed,safety,High temperature sensors may trigger low errors at low temperatuers during first heatup. Ignores a few,Should not be more than 10,,,off,off,off,,off,,,,,
preheat_time_hotend_ms,safety,Preheat before safety checking temp to reach minimum readable temperatures on high temp sensor,Shouldn't be more than 30 sec (30000),,,off,off,off,,,,,,,
preheat_time_bed_ms,safety,Preheat before safety checking temp to reach minimum readable temperatures on high temp sensor,Shouldn't be more than 30 sec (30000),,,off,off,off,,,,,,,
extruder_runout_prevent,safety,Extrude filament every couple seconds above mintemp,We avoid these options because we need control over what goes into MP hotends,,,off,off,off,,off,,,,,
extruder_runout_mintemp,safety,"Temp to extrude over, requires prevention",,,,200,200,200,,,,,,,
extruder_runout_seconds,safety,"Time between extrudes, requires prevention",,,,60,60,60,,,,,,,
extruder_runout_speed,safety,"Extrude speed mm/min, requires prevention",,,,540,540,540,,,,,,,
extruder_runout_extrude,safety,"mm of material, requires prevention",,,,(5*7),(5*7),(5*7),,,,,,,
hotend_idle_timeout,safety,Turn off extruder and bed after period,The most critical and annoying safety feature,,,off,on,on,,off,,,,,
hotend_idle_timeout_sec,safety,How long to wait above temp before turning off,Req idle_timeout,,,(5*60),(5*60),(5*60),,(5*60),,,,,
hotend_idle_min_trigger,safety,Minimum temperature to start timeout counter,Req idle_timeout,,,150,150,150,,150,,,,,
hotend_idle_nozzle_target,safety,What the nozzle is set to at idle timeout,Req idle_timeout,,,0,0,0,,0,,,,,
hotend_idle_bed_target,safety,What the bed is set to at idle timeout,Req idle_timeout,,,off,0,30,,0,,,,,
temp_sensor_ad595_offset,temperatures,Calibration for specific sensor type,Mainly used on the oven right now,,,0,0,0,,0.0,,,,,
temp_sensor_ad595_gain,temperatures,Calibration for specific sensor type,Mainly used on the oven right now,,,1,1,1,,1.0,,,,,
temp_sensor_ad8495_offset,temperatures,Calibration for specific sensor type,Mainly used on the oven right now,,,0,0,0,,0.0,,,,,
temp_sensor_ad8495_gain,temperatures,Calibration for specific sensor type,Mainly used on the oven right now,,,1,1,1,,1.0,,,,,
use_controller_fan,fans,Allow fan above motherboard to be controllable,,,,off,off,,,off,,,,,
controller_fan_pin,fans,"Requires controller_fan, set pin value",,,,off,off,off,,,,,,,
controllerfan_speed_min,fans,"Requires controller_fan, fan off below this set speed",,,,0,0,0,,,,,,,
controllerfan_speed_active,fans,"Requires controller_fan, how fast when on",,,,255,255,255,,,,,,,
controllerfan_speed_idle,fans,"Requires controller_fan, speed when motors off",,,,0,0,0,,,,,,,
controllerfan_idle_time,fans,"Requires controller_fan, seconds after motor disable to keep running",,,,60,60,60,,,,,,,
controller_fan_editable,fans,"Requires controller_fan, editable via M710",,,M710,on,on,on,,,,,,,
controller_fan_menu,lcd-menu,"Requires controller_fan, add Marlin menu for M710",Only necessary if controller fan is used,,,on,on,on,,,,,,,
fan_kickstart_time,fans,Full power for ms at fan start for push,,,,off,off,off,,off,,800,,,
fan_off_pwm,fans,Some coolers require not off state,,,,off,off,off,,off,,,,,
fan_min_pwm,fans,Override minimum 0 so that 0-255 hits this true minimum,Good for fans that need some power to run or reduced current,,,off,off,off,,,,,,,
fan_max_pwm,fans,Override maximum 255 so that 0-255 hits this true maximum,Good for fans that need some power to run or reduced current,,,off,off,off,,,,,,,
redundant_part_cooling_fan,fans,Designate a PWM fan as a secondary cooling,,,,off,off,off,,,,,,,
num_redundant_fans,fans,Number of sequential fans after designated redundant to also be redundant,,,,1,1,1,,,,,,,
e0_auto_fan_pin,safety,"Set a fan pin to automatically turn on when temp, or -1 to disable",Not used because of issues with extruder indexes and the mixing printers. Can be used on conventional hotends,,,-1,-1,-1,,,,,,,
extruder_auto_fan_temperature,safety,Minimum temp to turn on fan,,,,50,50,50,,,,,,,
extruder_auto_fan_speed,safety,Speed when fan on for extruder,,,,255,255,255,,,,,,,
endstops_always_on_default,homing,Endstops stay on even when not homing,Overridable with GCODE,,"M120,M121",on,on,on,,,,,,,
z_late_enable,motion,"Turn on z at last moment, good for overheating",Opposite of what we want,,,off,off,off,,,,,,,
external_closed_loop_controller,motion,"Enable a controller, more options to set pins",,,,off,off,off,,,,,,,
dual_x_carriage,adv-motion,Two independent x carraiges,"Lots of settings, see configuration_adv.h",,,off,off,off,,,,,,,
invert_x2_vs_x_dir,adv-motion,X2 signal is opposite of X,,,,on,on,off,,,,,,,
x_dual_endstops,adv-motion,X2 has its own endstop,,,,on,on,off,,,,,,,
x2_stop_pin,adv-motion,X2 endstop pin override,,,,X_MAX_PIN,X_MAX_PIN,X_MAX_PIN,,,,,,,
x2_endstop_adjustment,adv-motion,X2 offset relative to X endstop,Not quite sure what this value is,,,0,0,0,,,,,,,
invert_y2_vs_y_dir,adv-motion,X2 signal is opposite of X,,,,on,on,off,,,,,,,
y_dual_endstops,adv-motion,X2 has its own endstop,,,,on,on,off,,,,,,,
y2_stop_pin,adv-motion,X2 endstop pin override,,,,Y_MAX_PIN,Y_MAX_PIN,Y_MAX_PIN,,,,,,,
y2_endstop_adjustment,adv-motion,X2 offset relative to X endstop,Not quite sure what this value is,,,0,0,0,,,,,,,
invert_z2_vs_z_dir,adv-motion,z2 signal is opposite of z,On for Octopus?,,,off,off,off,,,,,,,
z_multi_endstops,adv-motion,z2 has its own endstop,,,,off,off,off,,,,,,,
z2_stop_pin,adv-motion,z2 endstop pin override,,,,X_MAX_PIN,X_MAX_PIN,X_MAX_PIN,,,,,,,
z2_endstop_adjustment,adv-motion,z2 offset relative to z endstop,Not quite sure what this value is,,,0,0,0,,,,,,,
invert_z3_vs_z_dir,adv-motion,z3 signal is opposite of z,,,,off,off,off,,,,,,,
z3_stop_pin,adv-motion,z3 endstop pin override,,,,Y_MAX_PIN,Y_MAX_PIN,Y_MAX_PIN,,,,,,,
z3_endstop_adjustment,adv-motion,z3 offset relative to z endstop,Not quite sure what this value is,,,0,0,0,,,,,,,
e_dual_stepper_drivers,extruder,Two synchronized steppers for E,,,,off,off,off,,,,,,,
sensorless_backoff_mm,homing,Backoff from endstops before attempting sensorless homing,To allow for some movement to gauge location,,,"{8, 8, 0}","{8, 8, 0}","{8, 8, 0}",,,,,,,
homing_bump_mm,homing,Backoff from endstops after first push,"To allow for a second, more accurate touch",,,"{0,0,2}","{0,0,2}","{1,1,2}",,,,,,,
homing_bump_divisor,homing,Slow speed for second bump touch,,,,"{2,2,4}","{2,2,4}","{2,2,4}",,,,,,,
quick_home,homing,Allow for diagonal homing motion of x and y,May want to disable on complex carriages,,,on,on,on,,,,,,,
z_stepper_auto_align,calibration,Adds G34,,,,on,on,on,,,,,,,
z_stepper_align_xy,calibration,Give default points for probing G34,"Leave off for defaults, override with GCODE",,M422,off,off,off,,,,,,,
z_steppers_orientation,calibration,Set orientation of steppers,Check configuration_adv.h for layouts,,,0,0,0,,,,,,,
z_stepper_align_stepper_xy,calibration,"Location of steppers z1,z2,z3 for faster calibration",Relative to bed locations,,,"{ { 210.7, 102.5 }, { 152.6, 220.0 }, { 94.5, 102.5 } }","{ { -35, 55 }, { 380, 535}, { 800, 55 } }",off,,,,,,,
z_stepper_align_amp,calibration,Used instead of known positions,Values > 1 cause stability,,,1,1,1,,,,,,,
g34_max_grade,calibration,Maximum % incline allowed,5% on a 300mm bed is 1.5cm offset,,,5,5,5,,,,,,,
z_stepper_align_iterations,calibration,Max iterations to apply,5 is maximum of a single,,,5,5,5,,,,,,,
z_stepper_align_acc,calibration,Stop iteration if accuracy is higher than this,0.00 is not allowed,,,0.01,0.01,0.01,,,,,,,
restore_leveling_after_g34,calibration,Restore bed mesh after G34,,,,on,on,on,,,,,,,
home_after_g34,calibration,Rehome z or calculate from last know,Tilt of probe should be corrected with homing,,,on,on,on,,,,,,,
assisted_tramming,calibration,Add G35 for beds with tension screws,No current bed has this,,,off,off,off,,,,,,,
ft_motion,control-motion,Enables fixed-time motion,,,M943,off,off,off,,,,,,,
input_shaping_x,control-motion,Enables input shaping on x axis,"Requires tuning, more options available",,M593,off,off,off,,,,,,,
input_shaping_y,control-motion,Enables input shaping on y axis,"Requires tuning, more options available",,M593,off,off,off,,,,,,,
axis_relative_modes,control-motion,Defaults axes to relative,Set by GCODE instead,,"G91, M83","{false,false,false}","{false,false,false}","{false,false,false,false}",,,,,,,
default_stepper_timeout_sec,steppers,How long to turn off an idle axis' steppers,,,"M18, M84",120,120,120,,,,,,,
disable_idle_x,steppers,Turn off x after timeout,,,,on,on,on,,,,,,,
disable_idle_y,steppers,Turn off y after timeout,,,,on,on,on,,,,,,,
disable_idle_z,steppers,Turn off z after timeout,We must hold z always,,,off,off,off,,,,,,,
disable_idle_e,steppers,Turn off e after timeout,Prevent backpressure pushing extruders,,,off,off,off,,,,,,,
default_minimumfeedrate,adv-motion,Minimum mm/s to allow,,,M205 S,0.0,0.0,0.0,,,,,,,
default_mintravelfeedrate,adv-motion,Minimum mm/s to allow for travel,,,M205 T,0.0,0.0,0.0,,,,,,,
default_minsegmenttime,adv-motion,Minimum time (u seconds) for a buffer to empty,,,M205 B,20000,20000,20000,,,,,,,
slowdown,adv-motion,Slow machine if lookahead buffer if past divisor,Might be useful to prevent freezing or stuttering,,,on,on,on,,,,,,,
slowdown_divisor,adv-motion,Larger divisor allows for larger buffer sizes,,,,2,2,2,,,,,,,
xy_frequency_limit,adv-motion,Reduce resonance by limiting frequency of small infill pattern moves. ,,,M201 F,off,off,off,,,,,,,
backlash_compensation,calibration,Add extra movement to axes on direction change,Good for print accuracy,,,on,on,on,,,,,,,
backlash_distance_mm,calibration,mm of axis extra movement,Change if backlash_gcode enabled,,M425*,"{0,0,0}","{0,0,0}","{0,0,0}",,,,,,,
backlash_correction,calibration,Amount of correction to apply,"0 = no, 1 = full correction",,,0,0,0,,,,,,,
backlash_smoothing_mm,calibration,Enable and set to spread correction over segments,Computation and memory intensive,,,off,off,off,,,,,,,
backlash_gcode,calibration,Enable to allow editing of their values using code,,,M425,on,on,on,,,,,,,
measure_backlash_when_probing,calibration,Needs backlash_gcode,"Measures z backlash, more settings available",,,on,on,on,,,,,,,
calibration_gcode,calibration,Enables a code to measure using a conductive object and the probe,Too complex for our current systems,,,off,off,off,,,,,,,
multistepping_limit,adv-motion,Send steps in bursts to reduce mcu usage,Allows higher feedrates than mcu,,,16,16,16,,,,,,,
adaptive_step_smoothing,adv-motion,Increases resolution of multi-axis moves,,,,on,on,on,,,,,,,
microstep_modes,steppers,Set settings for microsteps,"Requires board with named X_MS1, X_MS2, etc",,,"{ 16, 16, 16, 16, 16, 16 }","{ 16, 16, 16, 16, 16, 16 }","{ 16, 16, 16, 16, 16, 16 }",,,,,,,
manual_feedrate,lcd-special,Marlin mode movement feedrates mm/min,,,,"{ 50*60, 50*60, 4*60, 2*60 }","{ 50*60, 50*60, 4*60, 2*60 }","{ 50*60, 50*60, 4*60, 2*60 }",,,,,,,
fine_manual_move,lcd-special,Smallest manual z move,,,,0.025,0.025,0.025,,,,,,,
encoder_rate_multiplier,lcd-special,Changes values rapidly when encoder rotated fast,,,,on,on,on,,,,,,,
encoder_10x_steps_per_sec,lcd-special,Req. encoder_rate_multipler,steps/s for 10x speed,,,30,30,30,,,,,,,
encoder_100x_steps_per_sec,lcd-special,Req. encoder_rate_multipler,steps/s for 100x speed,,,80,80,80,,,,,,,
beep_on_feedrate_change,lcd-special,Beeps when feedrate changed from status screen,Good to notify of user error,,,on,on,on,,,,,,,
probe_offset_wizard,lcd-menu,Wizard for bed probe offset calibration,,,,on,on,on,,,,,,,
lcd_info_menu,lcd-menu,Printer information,,,,on,on,on,,,,,,,
turbo_back_menu_item,lcd-menu,Pressing back defaults position to back at the top,,,,off,off,off,,,,,,,
preheat_shortcut_menu_item,lcd-menu,Menu for preheating at top level of menu,,,,on,on,on,,,,,,,
lcd_endstop_test,lcd-menu,Option for probe and endstop testing,,,,on,on,on,,,,,,,
show_bootscreen,display,Show marlin logo at startup,,,,on,on,on,,,,,,,
bootscreen_timeout,display,ms to display boot,,,,3000,3000,3000,,,,,,,
boot_marlin_logo_small,display,Saves flash with small logo,,Saves a lot,,on,on,on,,,,,,,
sound_menu_item,lcd-menu,Add a mute option to LCD menu,Sounds are good feedback,,,off,off,off,,,,,,,
sound_on_default,lcd-menu,Buzzer enable state,,,,on,on,on,,,,,,,
lcd_timeout_to_status,lcd-special,MS to return to status on idle,,,,off,off,off,,,,,,,
status_message_scrolling,lcd-special,Scroll status message,,,,on,on,on,,,,,,,
status_message_timeout_sec,lcd-special,Seconds before dismissing low-priority messages,,,,60,60,60,,,,,,,
lcd_decimal_small_xy,lcd-special,Display x/y with one decimal when possible,,,,off,off,off,,,,,,,
lcd_show_e_total,lcd-special,Display total filament used during print,,,,off,off,off,,,,,,,
show_temperature_below_zero,lcd-special,Show value instead of err when below 0,Seeing values can help troubleshoot,,,on,on,on,,,,,,,
led_control_menu,lcd-menu,Menu for controlling LED lights,,,,off,off,off,,,,,,,
set_progress_manually,host,Adds M73,,,M73,on,on,on,,,,,,,
set_progress_percent,host,,,,,on,on,on,,,,,,,
set_remaining_time,host,,,,,on,on,on,,,,,,,
set_interaction_time,host,,,,,on,on,on,,,,,,,
m73_report,host,Reports M73 values to the host,,,,on,on,on,,,,,,,
m73_report_sd_only,host,Only reports M73 when printing from SD card,We might need this more than just SD,,,off,off,off,,,,,,,
show_progress_percent,host,,,,,on,on,on,,,,,,,
show_elapsed_time,host,,,,,on,on,on,,,,,,,
show_remaining_time,host,,,,,on,on,on,,,,,,,
show_interaction_time,host,,,,,on,on,on,,,,,,,
sdcard_readonly,media,Only read SD card,,Saves 2k,,on,on,on,,,,,,,
gcode_repeat_markers,media,Enables M808 for repeat and looping,,,,on,on,on,,,,,,,
sd_procedure_depth,media,"If you need more nested M32 calls, increase",,,,1,1,1,,,,,,,
sd_finished_stepperrelease,steppers,Disable steppers when SD print finished,We like steppers on,,,false,false,false,,,,,,,
sd_finished_releasecommand,steppers,Command to run if stepperrelease is true,,,,"""M84XYE""","""M84XYE""","""M84XYE""",,,,,,,
sdcard_ratherrecentfirst,media,Sort by recent instead of alpha,"Can get messed up, but faster",,,on,on,on,,,,,,,
sd_menu_confirm_start,media,Confirm file before starting print,,,,on,on,on,,,,,,,
no_sd_autostart,media,Removes ability to run auto#.g files,"We use these files for startup tasks, keep",Saves some,,off,off,off,,,,,,,
menu_addautostart,lcd-menu,Adds menu to run auto#.g files,,,,on,on,on,,,,,,,
event_gcode_sd_abort,media,Commands to run on sd print abort,,,,"""G28XY""","""G28XY""","""G28XY""",,,,,,,
power_loss_recovery,powersupply,Enables power loss recovery,,,,off,off,off,,,,,,,
sdcard_sort_alpha,media,Sort SD card by name,"Can cost ram in the stack. Not advised, more options are available if needed",,,off,off,off,,,,,,,
utf_filename_support,media,Support extra characters,"Likely not needed, depends on screen",,,off,off,off,,,,,,,
long_filename_host_support,host,Allows long filenames on SD card,,,,on,on,on,,,,,,,
scroll_long_filenames,host,Scroll long names so you can read them,,,,on,on,on,,,,,,,
sd_abort_no_cooldown,host,Leave heaters on when abort SD print,"This can be handled by the TFT in most cases, so we leave this off for safety reasons",,,off,off,off,,,,,,,
sd_abort_on_endstop_hit,safety,Stop print if endstop hit during print,,,M540 S1`,on,on,on,,,,,,,
sd_abort_on_endstop_hit_gcode,safety,What to do when endstop hit,,,,"""G28XY""","""G28XY""","""G28XY""",,,,,,,
auto_report_sd_status,host,Auto report media status,,,M27 S,on,on,on,,,,,,,
usb_flash_drive_support,media,Enables USB through special board,Not needed on printers with USB OTG from BTT,,,off,off,off,,,,,,,
sd_firmware_update,firmware,Triggers update from SD on next boot,"DO NOT ENABLE for BTT boards, they have their own bootloader that always checks for this",,,off,off,off,,,,,,,
configuration_embedding,firmware,Compress settings into firmware to get later,"Writes to SD card, cannot enable if writing is disabled",3K,M503 C,off,off,off,,,,,,,
sdcard_connection,media,Where the SD card is,"This refers to Marlin's SD, not the SD or USB that is on the touchscreen. Those are prints from host, unless you use extension cables to connect the touchscreen for marlin mode, then you can use that as the main SD card. ",,,ONBOARD,ONBOARD,ONBOARD,,,,,,,
no_sd_detect,media,Enable if you cannot detect SD card,Turns off warnings and assumes valid usage,,,off,off,off,,,,,,,
multi_volume,media,Enables experimental support for multiple media sources,"Settings available, very focused on NOT our use case",,,off,off,off,,,,,,,
no_sd_host_drive,media,Hides onboard SD card from connected computer,,,,off,off,off,,,,,,,
xyz_no_frame,marlin-mode,Saves CPU by drawing no frame on info,,,,off,off,off,,,,,,,
xyz_hollow_frame,marlin-mode,Saves CPU by drawing hollow frame on info,,,,on,on,on,,,,,,,
display_sleep_minutes,marlin-mode,Sleep enable for certain screens,None of ours are compatible,,,off,off,off,,,,,,,
lightweight_ui,marlin-mode,Make display less cluttered,MANY MORE OPTIONS AVAILABLE TO CUSTOMIZE MARLIN MODE AND WILL BE ADDED AT LATER DATE,,,off,off,off,,,,,,,
use_watchdog,safety,"If firmware gets overloaded, perform reset when cannot read temperatures",watchdog_reset_manual can be added to use a custom timer,,,on,on,on,,,,,,,
babystepping,babystepping,Move axes in small increments,,,,on,on,on,,,,,,,
ep_babystepping,babystepping,Enables version with emergency parser support,Requires emergency_parser,,M293/M294,off,off,off,,,,,,,
babystep_without_homing,babystepping,Enable to allow babystep before homing,,,,off,off,off,,,,,,,
babystep_always_available,babystepping,Enable to allow babystepping whenever,,,,on,on,on,,,,,,,
babystep_xy,babystepping,Enable for babystep in x/y axes,Really no need for this with touchscreens,,,off,off,off,,,,,,,
